Community,CommunityCode,Population_2023,Source
Umm Suqeim First,356,7443,Dubai Statistics Center 2023 Population Bulletin
Umm Suqeim Second,362,9220,Dubai Statistics Center 2023 Population Bulletin
Umm Suqeim Third,366,4867,Dubai Statistics Center 2023 Population Bulletin
Al Safa,,16986,Dubai Statistics Center 2023 Population Bulletin
