Month,Total_Water_m3,Recycled_m3,Potable_DEWA_m3,DEWA_Water_Cost_AED
Jan,277,172,105,924
Feb,269,161,108,950
Mar,401,221,180,1584
Apr,469,211,258,2270
May,558,212,346,3045
Jun,588,188,400,3520
Jul,645,206,439,3863
Aug,653,215,438,3854
Sep,580,220,360,3168
Oct,537,247,290,2552
Nov,409,225,184,1619
Dec,318,200,118,1038
