Species,Count,kgCO2_per_tree_yr,annual_kgCO2
Neem (Azadirachta indica),58,18,1044
Ghaf (Prosopis cineraria),16,12,192
Ficus nitida,34,20,680
Olive (Olea europaea),11,8,88
Date Palm (Phoenix dactylifera),12,10,120
