Item,AED_yr1
Landscape Maintenance & Labour,528904
Irrigation Water (DEWA),300231
Electricity (Lighting & Systems),217784
Smart System Maintenance,93336
Canopy Inspection & Cleaning,73891
Events & Activation Programming,140004
Security & CCTV,108892
Administrative & Insurance,73891
Capital Replacement Reserve (3%),434013
