Month,AirTempMax_C,HeatIndex_Sun_C,HeatIndex_Shade_C
Jan,24.0,24.2,17.7
Feb,25.0,25.2,18.8
Mar,30.0,33.0,24.2
Apr,34.0,39.8,29.3
May,37.5,47.2,34.6
Jun,39.9,58.2,41.9
Jul,41.7,65.0,47.2
Aug,42.1,64.7,47.4
Sep,39.5,59.8,42.4
Oct,36.5,49.8,35.0
Nov,31.0,35.1,25.3
Dec,26.0,26.4,19.9
