Item,AED
Parametric Voronoi Canopy (ETFE + Steel),4446895
"Landscape, Planting & Soil Improvement",3282232
"Civil Works, Paving & Drainage",4023382
"Electrical, LED & Smart Lighting",1588177
"Water Features, Mist & Irrigation System",1270542
"Smart Tech, AV & Digital Wayfinding",847028
"Outdoor Furniture, Fitness & Play",1005845
Contingency & Prelims (15%),2170509
