x,y,shade_hours,shade_pct,dist_to_crescent_m,dist_to_edge_m,dist_to_tree_m,trees_within_10m,trees_within_20m,canopy_overhead,under_crescent_walk,under_gridshell,zone,category,albedo,sky_view_factor,summer_heat_index_c,comfort_gain_c,comfort_band,n_summer_hours_sampled
26.5,0.5,121.055,2.75,46.86106403396052,0.5,14.07991334501523,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
27.5,0.5,99.045,2.25,46.60450789618353,0.5,13.404511076747669,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
28.5,0.5,33.015,0.75,46.355827545922246,0.5,12.771760826533045,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
29.5,0.5,33.015,0.75,46.110933635971676,0.5,12.188307184087423,0,5,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
30.5,0.5,33.015,0.75,45.86852283295598,0.5,11.661551758543549,0,5,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
31.5,0.5,22.01,0.5,45.63397552054261,0.5,11.199497614656792,0,5,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.98446787891177,0.03870628488382977,Danger,1058
32.5,0.5,44.02,1.0,45.40652334298407,0.5,10.810444219559908,0,5,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.94575345190286,0.07742071189274213,Danger,1058
33.5,0.5,22.01,0.5,45.178292310858616,0.5,10.502507397175652,0,7,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.98446787891177,0.03870628488382977,Danger,1058
34.5,0.5,33.015,0.75,44.957913232833526,0.5,10.282977148240791,0,8,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
35.5,0.5,0.0,0.0,44.74538780956993,0.5,10.157587136458902,0,11,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.02317416379564,-4.263256414560601e-14,Danger,1058
36.5,0.5,0.0,0.0,44.53449881159346,0.5,9.894779082029086,1,11,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
37.5,0.5,0.0,0.0,44.32832519312096,0.5,9.367730455444649,1,11,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
38.5,0.5,0.0,0.0,44.12999460742816,0.5,8.922000599056812,1,12,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
39.5,0.5,0.0,0.0,43.93781228070091,0.5,8.570286780106892,1,12,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
40.5,0.5,0.0,0.0,43.745882558474904,0.5,8.324514177835235,1,12,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
41.5,0.5,0.0,0.0,43.5617860825183,0.5,8.194220957521509,1,14,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
42.5,0.5,0.0,0.0,43.385524060888386,0.5,8.184923817873297,1,14,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
43.5,0.5,0.0,0.0,43.211235384456636,0.5,8.297029511101817,1,13,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
44.5,0.5,0.0,0.0,43.04141255247693,0.5,8.525750378224743,1,13,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
45.5,0.5,0.0,0.0,42.87941547048225,0.5,8.862061854642192,1,12,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
46.5,0.5,0.0,0.0,42.72500443043386,0.5,9.29429185679087,1,14,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
47.5,0.5,0.0,0.0,42.569494013555996,0.5,9.619184458082481,2,14,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.88,65.02317416379564,-4.263256414560601e-14,Danger,1058
48.5,0.5,0.0,0.0,42.421801457029495,0.5,9.32340898620399,1,15,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
49.5,0.5,0.0,0.0,42.281927771996116,0.5,9.128154282736629,1,16,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
50.5,0.5,0.0,0.0,42.14661160726039,0.5,9.039936177587583,1,16,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
51.5,0.5,0.0,0.0,42.013261255760526,0.5,9.061881238477502,1,15,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
52.5,0.5,0.0,0.0,41.8877230266987,0.5,9.19320058878758,1,15,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
53.5,0.5,0.0,0.0,41.76999753537809,0.5,9.42932566788835,1,16,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.02317416379564,-4.263256414560601e-14,Danger,1058
54.5,0.5,11.005,0.25,41.65432554789859,0.5,9.762654763767477,1,15,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,0.94,65.00382203791395,0.019352125881653137,Danger,1058
55.5,0.5,22.01,0.5,41.5431581570274,0.5,10.1836473584824,0,15,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.98446787891177,0.03870628488382977,Danger,1058
56.5,0.5,22.01,0.5,41.43979791976619,0.5,10.681943596899362,0,15,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.98446787891177,0.03870628488382977,Danger,1058
57.5,0.5,33.015,0.75,41.3442451218693,0.5,11.24727364710013,0,13,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
58.5,0.5,44.02,1.0,41.2487027106883,0.5,11.32004655002832,0,13,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.94575345190286,0.07742071189274213,Danger,1058
59.5,0.5,55.025000000000006,1.25,41.159739598160634,0.5,11.420521204086095,0,13,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.92639317883794,0.09678098495766108,Danger,1058
60.5,0.5,55.025000000000006,1.25,41.078579507388966,0.5,11.606599642063653,0,12,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.92639317883794,0.09678098495766108,Danger,1058
61.5,0.5,55.025000000000006,1.25,41.00476033376649,0.5,11.874258121218526,0,12,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.92639317883794,0.09678098495766108,Danger,1058
62.5,0.5,55.025000000000006,1.25,40.93022092619463,0.5,11.94979071183158,0,11,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.92639317883794,0.09678098495766108,Danger,1058
63.5,0.5,77.03500000000001,1.7500000000000002,40.863480746695714,0.5,12.019990389087308,0,10,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.88766650022696,0.13550766356864585,Danger,1058
64.5,0.5,77.03500000000001,1.7500000000000002,40.80454033587451,0.5,12.172215897318212,0,10,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.88766650022696,0.13550766356864585,Danger,1058
65.5,0.5,77.03500000000001,1.7500000000000002,40.751566351038626,0.5,12.40344753478246,0,10,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.88766650022696,0.13550766356864585,Danger,1058
66.5,0.5,33.015,0.75,40.69926702154354,0.5,12.709373770775493,0,9,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
67.5,0.5,44.02,1.0,40.654764767948144,0.5,13.084756495344152,0,6,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.94575345190286,0.07742071189274213,Danger,1058
68.5,0.5,55.025000000000006,1.25,40.61805993062473,0.5,13.523813198932684,0,6,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.92639317883794,0.09678098495766108,Danger,1058
69.5,0.5,66.03,1.5,40.58617593283699,0.5,14.020563267458295,0,5,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
70.5,0.5,66.03,1.5,40.5561262946703,0.5,14.569106535198916,0,5,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
