doy,max_elevation_deg
1,41.52859007691434
2,41.60214989068249
3,41.6830771506401
4,41.77134270417217
5,41.86691738885473
6,41.96977093567274
7,42.07987058851554
8,42.19718005668123
9,42.321659092298425
10,42.453263563280245
11,42.591945691195974
12,42.7376542136873
13,42.89033444812083
14,43.04992836157206
15,43.21637471583293
16,43.38960926287349
17,43.569564941689976
18,43.75617207173668
19,43.9493585733974
20,44.158650740037935
21,44.387328076838294
22,44.62158458471289
23,44.8613164336943
24,45.106418166487714
25,45.35678283390047
26,45.6123022167004
27,45.872867145453654
28,46.13836796319853
29,46.408695195652946
30,46.68374039557819
31,46.96339692133395
32,47.24756025567788
33,47.53612755997387
34,47.828996488967256
35,48.126063660104435
36,48.427223308559874
37,48.73236648624627
38,49.041380836718496
39,49.35415073926723
40,49.67055758688081
41,49.99048007075451
42,50.31379443608136
43,50.64037469110974
44,50.970092739601114
45,51.302818447604515
46,51.63841972645021
47,51.9767627364312
48,52.31771223919033
49,52.66113200187686
50,53.00688510843308
51,53.35483410458008
52,53.7048410505574
53,54.056767652022565
54,54.41047561749222
55,54.76582728692967
56,55.12268646277339
57,55.48091930727476
58,55.840395141321856
59,56.20098695872684
60,56.56257147893675
61,56.925028630594014
62,57.28824050997948
63,57.652090034100596
64,58.01645961764732
65,58.38123016325833
66,58.74628050958845
67,59.11710566798494
68,59.511430538902125
69,59.907018387814496
70,60.3037486221373
71,60.70149974566875
72,61.10014946852396
73,61.49957480770397
74,61.89965223511558
75,62.30025794012584
76,62.70126823422208
77,63.10256001226618
78,63.504011071043074
79,63.90550008656145
80,64.30690620496
81,64.70810844633124
82,65.10898528052617
83,65.50941467618526
84,65.90927467746408
85,66.30844428021805
86,66.70680425709045
87,67.10423766301905
88,67.50062993590181
89,67.89586865159956
90,68.2898430236708
91,68.68244322475566
92,69.07355961919463
93,69.46308203877919
94,69.85089924659756
95,70.23689865655602
96,70.62096626417029
97,71.00298668027682
98,71.38284318340799
99,71.760417776449
100,72.13559125865667
101,72.50824331398915
102,72.8782526181373
103,73.24549702743185
104,73.6098539440511
105,73.97120087311845
106,74.3294159755826
107,74.68437826392672
108,75.03596717569928
109,75.38406160892052
110,75.7285388861267
111,76.0692742041216
112,76.40614083648916
113,76.73901088680995
114,77.06775608955938
115,77.39224821894071
116,77.71235896462603
117,78.02795941278596
118,78.33891934689733
119,78.64510649792666
120,78.94638579306007
121,79.24261864212696
122,79.53366233195452
123,79.81936958082919
124,80.09958823880787
125,80.3741610897198
126,80.64292573859989
127,80.90571462266436
128,81.16235518751294
129,81.4126702161094
130,81.65647830590417
131,81.89359456208868
132,82.12383166144657
133,82.3470013750311
134,82.56291638792177
135,82.77139201085014
136,82.9722473703736
137,83.16530600078566
138,83.35039622468527
139,83.52735195482697
140,83.69601439880479
141,83.85623469235897
142,84.00787708120242
143,84.1508221609154
144,84.28496987420273
145,84.41024226574189
146,84.52658615022936
147,84.6339758138252
148,84.73241570554772
149,84.82194291436483
150,84.90262917299926
151,84.97458214993983
152,85.03794588218629
153,85.09290029963749
154,85.13965986558543
155,85.17847142128134
156,85.20961133589704
157,85.23338209577327
158,85.2501084756149
159,85.26013345650819
160,85.26381405284202
161,85.26151714577323
162,85.25361532810453
163,85.2404826560167
164,85.22249014221644
165,85.20000090253178
166,85.17336504673118
167,85.14291465087942
168,85.10895929510504
169,85.07178258650359
170,85.03163985418057
171,84.98875689985587
172,84.94332953047186
173,84.89552364027197
174,84.84547572672626
175,84.79329384360292
176,84.73905893737347
177,84.6828264179704
178,84.62462775772083
179,84.56447195842443
180,84.50234686123702
181,84.4382203571056
182,84.37204159568769
183,84.30374228468456
184,84.2332381582929
185,84.16043071354453
186,84.08520925155494
187,84.00745321016845
188,83.92703469733098
189,83.84382109895478
190,83.75767763276275
191,83.66846964717648
192,83.57606437308644
193,83.48033180672324
194,83.38114456573733
195,83.27837693676926
196,83.17190368406847
197,83.06159926950752
198,82.94733787181268
199,82.82899412706585
200,82.70644421749455
201,82.5795669375205
202,82.44824461649074
203,82.31236399106791
204,82.17181713116848
205,82.02650237917472
206,81.87632514271003
207,81.72119840457607
208,81.5610429353643
209,81.3957872952098
210,81.22536772212797
211,81.04972799962518
212,80.86881939945732
213,80.68260082983821
214,80.4910393028539
215,80.29411071731421
216,80.0918008517912
217,79.884106383618
218,79.67103575507859
219,79.45260969724559
220,79.22886117181966
221,78.99983450331507
222,78.76558364536899
223,78.52616985945144
224,78.28165939091252
225,78.03212173166087
226,77.7776287385194
227,77.51825441318863
228,77.25407489390582
229,76.98516830277653
230,76.71161438578652
231,76.43349413275534
232,76.1508895566693
233,75.86388365230448
234,75.5725604119918
235,75.2770047672999
236,74.97730242322368
237,74.67353961047284
238,74.3658028002894
239,74.05417842406028
240,73.73875268615907
241,73.41961162621469
242,73.09684157901276
243,72.77053006192489
244,72.44076695911872
245,72.10764575729517
246,71.77126458692275
247,71.43172687420495
248,71.0891414719663
249,70.74362219254519
250,70.39528677604766
251,70.04425549939336
252,69.69064978013958
253,69.33459113832173
254,68.97620069991046
255,68.61559914860038
256,68.2529068524082
257,67.88824389845506
258,67.52172994205253
259,67.15348395614046
260,66.78362403038034
261,66.4122673022794
262,66.03952999183898
263,65.66552745061847
264,65.29037414958385
265,64.91418357761428
266,64.53706805929598
267,64.15913852571897
268,63.78050431423645
269,63.401273137369174
270,63.021551400127215
271,62.641444989355975
272,62.261060491583656
273,61.88050658839224
274,61.49989525735529
275,61.11934245488388
276,60.73896815461702
277,60.358895834831245
278,59.97925164148502
279,59.60016345773373
280,59.22176004684328
281,58.84417037315015
282,58.46752316449421
283,58.0919467266422
284,57.71756893835124
285,57.344517286225766
286,56.97291880769256
287,56.602899908853516
288,56.234586136963465
289,55.86810201888308
290,55.50357100540978
291,55.14111546314457
292,54.78085662361103
293,54.42291444663381
294,54.06740741268371
295,53.71445226735989
296,53.36416373367175
297,53.016654261297774
298,52.67203400396593
299,52.330411284746006
300,51.991893677665686
301,51.65658950893255
302,51.32460927060263
303,50.99606640005442
304,50.67107717759119
305,50.34975993039403
306,50.03223399574161
307,49.71861884256392
308,49.40903349284118
309,49.10359616802538
310,48.80242404737892
311,48.5056331030015
312,48.21333802412546
313,47.9256522032085
314,47.642687702076834
315,47.36455513801986
316,47.09136351337056
317,46.82322006361553
318,46.560230159215
319,46.30249722058885
320,46.0501225871219
321,45.80320533477511
322,45.56184207797307
323,45.326126752932176
324,45.09615031786258
325,44.87200035419896
326,44.65376074583618
327,44.44151179401063
328,44.235331057462254
329,44.035294832388416
330,43.841479730830315
331,43.65396364019939
332,43.47282562722133
333,43.29814490905413
334,43.12999946005331
335,42.96846487168918
336,42.81361377160697
337,42.66551572390641
338,42.52423733903013
339,42.38984237117287
340,42.26239173607793
341,42.14194348363871
342,42.028552769365774
343,41.922271835317694
344,41.82314999360837
345,41.73123360263041
346,41.64656601802635
347,41.56918749896293
348,41.49913507067002
349,41.436442381499084
350,41.38113959124546
351,41.33325326422435
352,41.292806174683164
353,41.25981696814091
354,41.234299803236176
355,41.21626429925525
356,41.2057161237549
357,41.202658269565305
358,41.20709261612423
359,41.219021073181544
360,41.238445716831905
361,41.26536782757651
362,41.29978631091628
363,41.34169624258935
364,41.3910880923271
365,41.44794771129022
