Date,Sunrise,Sunset,Day_Length_hrs,Max_Sun_Elevation_deg
Summer Solstice (21 Jun),05:40,19:10,13.5,88.2
Winter Solstice (21 Dec),07:10,17:30,10.33,41.4
Equinox (20 Mar / 22 Sep),06:30,18:20,11.83,64.7
